,batch_size,img_size,num_epochs,learning_rate,epochs,train_losses,test_losses,train_accuracies,test_accuracies
0,1,128,10,0.0001,1,1.165068616813176,1.3119430879706568,tensor(61.4530),tensor(54.4444)
1,1,128,10,0.0001,2,0.800605613010443,1.0856947903710736,tensor(72.9915),tensor(59.6296)
2,1,128,10,0.0001,3,0.6274348923382203,0.9566040283280811,tensor(80.3419),tensor(62.9630)
3,1,128,10,0.0001,4,0.43736445972928484,0.8437570688593908,tensor(86.6667),tensor(73.3333)
4,1,128,10,0.0001,5,0.35111953673551644,0.8536375369628255,tensor(88.3761),tensor(70.)
5,1,128,10,0.0001,6,0.17795242572772532,0.6249360261919504,tensor(96.3248),tensor(77.0370)
6,1,128,10,0.0001,7,0.11783702815531134,0.645309950600643,tensor(98.0342),tensor(78.5185)
7,1,128,10,0.0001,8,0.10121122259603539,0.6742664982983191,tensor(97.4359),tensor(79.2593)
8,1,128,10,0.0001,9,0.07398765298040427,0.6198173109773119,tensor(98.6325),tensor(79.2593)
9,1,128,10,0.0001,10,0.04906455192719443,0.5551653602890076,tensor(99.2308),tensor(80.3704)
