,batch_size,img_size,num_epochs,learning_rate,epochs,train_losses,test_losses,train_accuracies,test_accuracies
0,1,128,10,0.0001,1,1.9671241288129082,1.9507871686308473,tensor(28.1197),tensor(28.8889)
1,1,128,10,0.0001,2,1.2610304082956194,1.2886478269383925,tensor(54.6154),tensor(53.3333)
2,1,128,10,0.0001,3,0.8821618761346793,0.9695225870544827,tensor(69.6581),tensor(64.0741)
3,1,128,10,0.0001,4,0.8082110438550598,0.9865001773773572,tensor(71.1111),tensor(66.6667)
4,1,128,10,0.0001,5,0.4498867236942208,0.7427064098719354,tensor(84.0171),tensor(72.5926)
5,1,128,10,0.0001,6,0.5130663117465691,0.902703993738186,tensor(81.6239),tensor(72.5926)
6,1,128,10,0.0001,7,0.29095948170262875,0.7289440033009045,tensor(89.5726),tensor(75.1852)
7,1,128,10,0.0001,8,0.21251235738816965,0.7283951202988782,tensor(93.1624),tensor(77.7778)
8,1,128,10,0.0001,9,0.08957865434455037,0.6234161116681691,tensor(97.4359),tensor(81.1111)
9,1,128,10,0.0001,10,0.15949632174717948,0.8110508613524365,tensor(94.5299),tensor(76.2963)
