,batch_size,img_size,num_epochs,learning_rate,epochs,train_losses,test_losses,train_accuracies,test_accuracies
0,1,128,10,0.0001,1,2.304159253479069,2.3041554300873366,tensor(10.),tensor(10.)
1,1,128,10,0.0001,2,2.242066103678483,2.2426017350620695,tensor(20.1709),tensor(20.3704)
2,1,128,10,0.0001,3,1.7694254990269476,1.764106012647109,tensor(27.6923),tensor(28.1481)
3,1,128,10,0.0001,4,1.6934443066064997,1.7153770383418743,tensor(34.1026),tensor(31.4815)
4,1,128,10,0.0001,5,1.5351188217433285,1.6181199930303853,tensor(42.4786),tensor(38.8889)
5,1,128,10,0.0001,6,1.3193448026202803,1.3854024777570615,tensor(52.5641),tensor(50.)
6,1,128,10,0.0001,7,1.1662243367157141,1.3060660476785668,tensor(56.1538),tensor(50.7407)
7,1,128,10,0.0001,8,1.0049423385938536,1.1735927065813312,tensor(59.9145),tensor(54.8148)
8,1,128,10,0.0001,9,0.8657614436740161,1.0780578210389968,tensor(67.4359),tensor(57.4074)
9,1,128,10,0.0001,10,0.7144226604387284,1.0226726080788457,tensor(71.2821),tensor(62.9630)
