,batch_size,img_size,num_epochs,learning_rate,epochs,train_losses,test_losses,train_accuracies,test_accuracies
0,1,128,50,0.0001,1,2.298939827976064,2.299175802866618,tensor(10.),tensor(10.)
1,1,128,50,0.0001,2,1.7168019311432676,1.7162180320529,tensor(37.3504),tensor(35.1852)
2,1,128,50,0.0001,3,1.5793348511226803,1.607965648303717,tensor(43.5897),tensor(44.4444)
3,1,128,50,0.0001,4,1.446890992010595,1.4994032354329665,tensor(53.5897),tensor(51.1111)
4,1,128,50,0.0001,5,1.3648749330185277,1.4139771753635715,tensor(51.9658),tensor(51.1111)
5,1,128,50,0.0001,6,1.103493616478115,1.2073748909049178,tensor(64.4444),tensor(57.0370)
6,1,128,50,0.0001,7,0.9480619022419574,1.0710952581065196,tensor(71.1111),tensor(62.5926)
7,1,128,50,0.0001,8,0.9236541817404549,1.1049598114872605,tensor(72.8205),tensor(60.7407)
8,1,128,50,0.0001,9,0.8264032997737265,1.0630856356386622,tensor(73.9316),tensor(62.5926)
9,1,128,50,0.0001,10,0.5872762379780645,0.8897934950370144,tensor(81.1111),tensor(68.5185)
10,1,128,50,0.0001,11,0.8762630091350282,1.1705043573146965,tensor(70.0855),tensor(59.2593)
11,1,128,50,0.0001,12,0.48507581926346877,0.8627326260335267,tensor(84.4444),tensor(68.8889)
12,1,128,50,0.0001,13,0.4365885336868721,0.9152529934221151,tensor(86.9231),tensor(65.5556)
13,1,128,50,0.0001,14,0.4603522366486464,1.044207606054025,tensor(82.4786),tensor(64.0741)
14,1,128,50,0.0001,15,0.4575526864908794,0.925196730884462,tensor(83.9316),tensor(66.6667)
15,1,128,50,0.0001,16,0.40389982336825775,1.0336225813331001,tensor(85.8120),tensor(65.5556)
16,1,128,50,0.0001,17,0.20252688079434628,0.8708191923826335,tensor(94.1026),tensor(68.8889)
17,1,128,50,0.0001,18,0.3392889328714594,0.8754348532197881,tensor(89.0598),tensor(68.1481)
18,1,128,50,0.0001,19,0.44587212492748246,1.1896314068567748,tensor(85.0427),tensor(60.)
19,1,128,50,0.0001,20,0.22328638498232817,0.973315352836807,tensor(92.9915),tensor(67.7778)
20,1,128,50,0.0001,21,0.2655236116826344,0.9543667366908035,tensor(90.7692),tensor(68.8889)
21,1,128,50,0.0001,22,0.2062800014800288,0.9322192803453704,tensor(93.5897),tensor(70.)
22,1,128,50,0.0001,23,0.12173347373311895,0.8192884115322207,tensor(96.6667),tensor(72.9630)
23,1,128,50,0.0001,24,0.2823788508241638,0.9850297833069459,tensor(91.1111),tensor(67.4074)
24,1,128,50,0.0001,25,0.11628968904695706,0.8287429668151114,tensor(97.4359),tensor(73.3333)
25,1,128,50,0.0001,26,0.09182782453611561,0.9705097541837227,tensor(96.9231),tensor(72.2222)
26,1,128,50,0.0001,27,0.30240461559217285,1.0727495322346738,tensor(89.4872),tensor(67.7778)
27,1,128,50,0.0001,28,0.20905409687033163,0.8534922435437351,tensor(93.3333),tensor(69.2593)
28,1,128,50,0.0001,29,0.10233621998846142,0.914040518044827,tensor(97.6068),tensor(69.6296)
29,1,128,50,0.0001,30,0.13182679784827886,0.9053531174406594,tensor(95.6410),tensor(72.5926)
30,1,128,50,0.0001,31,0.15896791593146656,0.8339435131216739,tensor(94.6154),tensor(73.3333)
31,1,128,50,0.0001,32,0.1813752182585699,0.7400658623689196,tensor(95.2137),tensor(70.7407)
32,1,128,50,0.0001,33,0.10707622569773087,0.9686863767406172,tensor(96.6667),tensor(76.6667)
33,1,128,50,0.0001,34,0.24377790268001748,0.9793685820126956,tensor(92.6496),tensor(70.3704)
34,1,128,50,0.0001,35,0.12673402134394027,0.900116912539358,tensor(96.1538),tensor(72.5926)
35,1,128,50,0.0001,36,0.21690075046918428,1.0270922066422552,tensor(92.9060),tensor(71.8519)
36,1,128,50,0.0001,37,0.05105630308113221,0.8087337754809866,tensor(98.7179),tensor(75.9259)
37,1,128,50,0.0001,38,0.18622534649635963,0.8484138810492781,tensor(95.2991),tensor(68.1481)
38,1,128,50,0.0001,39,0.07077278632447849,0.7776811548834581,tensor(98.5470),tensor(75.9259)
39,1,128,50,0.0001,40,0.13987527074385625,0.9927283961539821,tensor(94.8718),tensor(71.4815)
40,1,128,50,0.0001,41,0.10659621771004907,0.8710907631301729,tensor(97.6068),tensor(74.4444)
41,1,128,50,0.0001,42,0.07932374484391518,0.942586262527591,tensor(97.0085),tensor(75.1852)
42,1,128,50,0.0001,43,0.2739901607483202,1.1062421835787235,tensor(90.9402),tensor(68.8889)
43,1,128,50,0.0001,44,0.1914215400141452,0.8850555097418231,tensor(93.7607),tensor(70.)
44,1,128,50,0.0001,45,0.09890626906388125,0.8436055844944107,tensor(96.8376),tensor(74.8148)
45,1,128,50,0.0001,46,0.08632815886377555,0.8617635265208595,tensor(97.0940),tensor(75.9259)
46,1,128,50,0.0001,47,0.08617460982817135,0.9199633647003984,tensor(97.0085),tensor(75.1852)
47,1,128,50,0.0001,48,0.04794206407671498,0.8859575909105092,tensor(98.0342),tensor(76.6667)
48,1,128,50,0.0001,49,0.053503055630346616,0.9544883790305368,tensor(97.9487),tensor(75.9259)
49,1,128,50,0.0001,50,0.06895333729804728,1.0164291620108807,tensor(97.6923),tensor(74.4444)
