,batch_size,img_size,num_epochs,learning_rate,epochs,train_losses,test_losses,train_accuracies,test_accuracies
0,1,128,25,0.0001,1,1.6009518246528527,1.5688602763058346,tensor(36.4957),tensor(36.6667)
1,1,128,25,0.0001,2,1.1273636039086357,1.1652464777476712,tensor(59.4872),tensor(54.0741)
2,1,128,25,0.0001,3,0.8922805217507218,0.9893934509366663,tensor(68.2906),tensor(64.0741)
3,1,128,25,0.0001,4,0.7104305451013473,0.9187967233913937,tensor(74.7009),tensor(66.6667)
4,1,128,25,0.0001,5,0.5321370435516051,0.8110048097002607,tensor(79.2308),tensor(71.1111)
5,1,128,25,0.0001,6,0.5723554045470112,0.890709542301501,tensor(77.6923),tensor(72.2222)
6,1,128,25,0.0001,7,0.3543952020942652,0.7627458231659143,tensor(87.1795),tensor(73.7037)
7,1,128,25,0.0001,8,0.2899177663116942,0.8227935758714235,tensor(89.1453),tensor(72.5926)
8,1,128,25,0.0001,9,0.21609777353153262,0.782752508282707,tensor(91.7094),tensor(75.5556)
9,1,128,25,0.0001,10,0.31753970059632,0.8870771576959128,tensor(88.7179),tensor(74.4444)
10,1,128,25,0.0001,11,0.09244721187912122,0.6727359197338041,tensor(97.9487),tensor(78.8889)
11,1,128,25,0.0001,12,0.0893685047116259,0.6641907555302268,tensor(97.6923),tensor(81.4815)
12,1,128,25,0.0001,13,0.1543966784109127,0.8555654753412101,tensor(94.1880),tensor(75.1852)
13,1,128,25,0.0001,14,0.08824581024265564,0.8909893455206448,tensor(97.3504),tensor(77.7778)
14,1,128,25,0.0001,15,0.01765842070989255,0.6749383789342588,tensor(99.6581),tensor(81.8519)
15,1,128,25,0.0001,16,0.23603474454819887,0.9732111831156561,tensor(92.8205),tensor(75.1852)
16,1,128,25,0.0001,17,0.0588569755718343,0.9290599158261758,tensor(98.1197),tensor(79.2593)
17,1,128,25,0.0001,18,0.0163526999275128,0.7664488323411447,tensor(100.),tensor(81.1111)
18,1,128,25,0.0001,19,0.0020597550908927633,0.7482600063996075,tensor(100.),tensor(82.9630)
19,1,128,25,0.0001,20,0.0007800374567880646,0.8128083153140965,tensor(100.),tensor(84.0741)
20,1,128,25,0.0001,21,0.00032316117981492763,0.8469600371726026,tensor(100.),tensor(84.0741)
21,1,128,25,0.0001,22,0.0001908779179668676,0.9124786419278599,tensor(100.),tensor(83.7037)
22,1,128,25,0.0001,23,1.9661513632099565,2.9517762724095595,tensor(68.3761),tensor(61.8519)
23,1,128,25,0.0001,24,0.049371005941230485,0.7128577969080226,tensor(98.2051),tensor(85.1852)
24,1,128,25,0.0001,25,0.002160613386494023,0.6932536499005542,tensor(100.),tensor(84.4444)
