,batch_size,img_size,num_epochs,learning_rate,epochs,train_losses,test_losses,train_accuracies,test_accuracies
0,1,128,25,0.0001,1,1.768364793364952,1.7487738589052308,tensor(37.2650),tensor(37.0370)
1,1,128,25,0.0001,2,1.2088098391473387,1.2283650743654448,tensor(58.2051),tensor(57.7778)
2,1,128,25,0.0001,3,0.8558473458809502,0.9759669087163713,tensor(70.),tensor(65.9259)
3,1,128,25,0.0001,4,0.6908501436368276,0.8469320697829584,tensor(76.4103),tensor(71.4815)
4,1,128,25,0.0001,5,0.4718375654814835,0.7206003292211587,tensor(84.1026),tensor(72.2222)
5,1,128,25,0.0001,6,0.2845914228950682,0.524545672252326,tensor(90.7692),tensor(80.)
6,1,128,25,0.0001,7,0.19800890842098412,0.49207012519320215,tensor(94.0171),tensor(82.9630)
7,1,128,25,0.0001,8,0.21400449168006766,0.6144490472150885,tensor(92.2222),tensor(79.2593)
8,1,128,25,0.0001,9,0.2180860341503003,0.5760237260926595,tensor(92.5641),tensor(83.7037)
9,1,128,25,0.0001,10,0.13972259265128356,0.5212771350739512,tensor(94.7009),tensor(86.2963)
10,1,128,25,0.0001,11,0.22149621683008222,0.5891248791799929,tensor(92.3077),tensor(80.7407)
11,1,128,25,0.0001,12,0.0666883133573661,0.4771054072908214,tensor(98.0342),tensor(84.8148)
12,1,128,25,0.0001,13,0.041150442119604114,0.4235767450523636,tensor(98.7179),tensor(84.4444)
13,1,128,25,0.0001,14,0.0340726265754547,0.445991525863332,tensor(99.2308),tensor(85.5556)
14,1,128,25,0.0001,15,0.05753075545910376,0.505150978774777,tensor(97.7778),tensor(86.2963)
15,1,128,25,0.0001,16,0.10551148626497185,0.6695075332472771,tensor(96.2393),tensor(82.5926)
16,1,128,25,0.0001,17,0.017547355952009708,0.5045950333437862,tensor(99.7436),tensor(87.0370)
17,1,128,25,0.0001,18,0.039410930352176396,0.625976830144603,tensor(98.5470),tensor(86.6667)
18,1,128,25,0.0001,19,0.014803932541969355,0.7013723547815828,tensor(99.4872),tensor(85.5556)
19,1,128,25,0.0001,20,0.05420196595606299,0.6218964962508274,tensor(98.3761),tensor(83.7037)
20,1,128,25,0.0001,21,0.0010972806404684577,0.5516981980159481,tensor(100.),tensor(86.6667)
21,1,128,25,0.0001,22,0.0009733233145521963,0.6391937846571993,tensor(100.),tensor(86.6667)
22,1,128,25,0.0001,23,0.00021505985993313786,0.6547530745554899,tensor(100.),tensor(86.2963)
23,1,128,25,0.0001,24,0.02914247264313822,0.4759650536651371,tensor(99.3162),tensor(85.9259)
24,1,128,25,0.0001,25,0.016228790646239485,0.6466420261411451,tensor(99.5726),tensor(85.1852)
