,batch_size,img_size,num_epochs,learning_rate,epochs,train_losses,test_losses,train_accuracies,test_accuracies
0,1,128,10,0.0001,1,1.6020695264384044,1.6086123704597681,tensor(47.0940),tensor(44.4444)
1,1,128,10,0.0001,2,1.115853820244771,1.185843927545501,tensor(60.6838),tensor(58.8889)
2,1,128,10,0.0001,3,0.8058116900906794,0.9579237361283844,tensor(73.1624),tensor(70.)
3,1,128,10,0.0001,4,0.46243666502588127,0.6824866744671219,tensor(84.7863),tensor(76.2963)
4,1,128,10,0.0001,5,0.29082697347283937,0.5393896062982229,tensor(91.1111),tensor(79.6296)
5,1,128,10,0.0001,6,0.2115901646946901,0.45121581112001313,tensor(93.9316),tensor(81.8519)
6,1,128,10,0.0001,7,0.13510365169881028,0.41430257792423114,tensor(96.4103),tensor(84.4444)
7,1,128,10,0.0001,8,0.11330521076328012,0.43469709412265034,tensor(96.6667),tensor(84.8148)
8,1,128,10,0.0001,9,0.06698400049678727,0.3969823416964201,tensor(98.2051),tensor(85.5556)
9,1,128,10,0.0001,10,0.1109551268507225,0.4874152131559554,tensor(95.8120),tensor(84.4444)
