,batch_size,img_size,num_epochs,learning_rate,epochs,train_losses,test_losses,train_accuracies,test_accuracies
0,1,128,25,0.0001,1,1.7099449180130266,1.7192022555542212,tensor(35.4701),tensor(34.8148)
1,1,128,25,0.0001,2,1.3653084441497336,1.4357335519140886,tensor(49.5727),tensor(47.4074)
2,1,128,25,0.0001,3,1.0507473272239984,1.2093345243624878,tensor(60.9402),tensor(53.3333)
3,1,128,25,0.0001,4,0.8270778804236635,1.023957836652738,tensor(72.3932),tensor(61.4815)
4,1,128,25,0.0001,5,0.7652867989283672,1.1371242164739448,tensor(73.7607),tensor(60.3704)
5,1,128,25,0.0001,6,0.5765438570101789,0.9059720616396237,tensor(79.0598),tensor(67.0370)
6,1,128,25,0.0001,7,0.3787374708290772,0.8207593909886386,tensor(86.6667),tensor(71.4815)
7,1,128,25,0.0001,8,0.32850360607469453,0.8350501200111525,tensor(88.8034),tensor(72.2222)
8,1,128,25,0.0001,9,0.4497934370445488,1.0854334951213898,tensor(82.6496),tensor(67.0370)
9,1,128,25,0.0001,10,0.15814120174696386,0.7543163828552538,tensor(95.4701),tensor(74.8148)
10,1,128,25,0.0001,11,0.2265766136775365,1.0037309314970586,tensor(91.9658),tensor(74.0741)
11,1,128,25,0.0001,12,0.2573196218749012,0.960869470113676,tensor(90.8547),tensor(74.4444)
12,1,128,25,0.0001,13,0.11602662227445806,0.8499800104061924,tensor(96.1538),tensor(77.7778)
13,1,128,25,0.0001,14,0.1398912295487843,0.816933824230586,tensor(95.8974),tensor(76.6667)
14,1,128,25,0.0001,15,0.1941866939784549,1.229994278095819,tensor(93.0769),tensor(74.8148)
15,1,128,25,0.0001,16,0.012580124462347745,0.6698724595990786,tensor(99.9145),tensor(81.8519)
16,1,128,25,0.0001,17,0.08671834284564213,0.826728238899068,tensor(97.0085),tensor(79.6296)
17,1,128,25,0.0001,18,0.05580077850642845,0.8893478277603317,tensor(98.6325),tensor(78.8889)
18,1,128,25,0.0001,19,0.0073689771858438955,0.6529768581841792,tensor(99.8291),tensor(82.5926)
19,1,128,25,0.0001,20,0.02087579740863746,0.8896852889878158,tensor(99.7436),tensor(78.1481)
20,1,128,25,0.0001,21,0.007879676851280116,0.6955531806820585,tensor(99.9145),tensor(84.4444)
21,1,128,25,0.0001,22,0.11097695807097772,0.815727235094749,tensor(96.7521),tensor(81.1111)
22,1,128,25,0.0001,23,0.0025092891448603907,0.5746795488991034,tensor(100.),tensor(85.5556)
23,1,128,25,0.0001,24,0.0008809470645040927,0.6486833885052641,tensor(100.),tensor(85.5556)
24,1,128,25,0.0001,25,0.0001722328190274874,0.7011224749309913,tensor(100.),tensor(84.8148)
