,batch_size,img_size,num_epochs,learning_rate,epochs,train_losses,test_losses,train_accuracies,test_accuracies
0,1,128,10,0.0001,1,1.7396791948228438,1.7574896147267687,tensor(36.5812),tensor(34.4444)
1,1,128,10,0.0001,2,1.1016092231946704,1.1631649326866427,tensor(59.2308),tensor(54.8148)
2,1,128,10,0.0001,3,0.7964923303415773,0.9094299716213602,tensor(69.6581),tensor(67.0370)
3,1,128,10,0.0001,4,0.5754212504702069,0.7492989079550589,tensor(80.7692),tensor(73.3333)
4,1,128,10,0.0001,5,0.3463174218400261,0.5861037171541893,tensor(88.8034),tensor(78.1481)
5,1,128,10,0.0001,6,0.19460061130235623,0.5106805711218213,tensor(94.9573),tensor(82.5926)
6,1,128,10,0.0001,7,0.19141829485219142,0.5936872375655091,tensor(94.1026),tensor(78.5185)
7,1,128,10,0.0001,8,0.13817722333271015,0.5646477708700786,tensor(95.2137),tensor(81.8519)
8,1,128,10,0.0001,9,0.026194298544135575,0.34804463530613783,tensor(99.6581),tensor(87.0370)
9,1,128,10,0.0001,10,0.3184007096203288,0.7278723093967769,tensor(91.8803),tensor(75.1852)
