,batch_size,img_size,num_epochs,learning_rate,epochs,train_losses,test_losses,train_accuracies,test_accuracies
0,1,128,5,0.0001,1,1.276391194249542,1.3842955166209356,tensor(53.2479),tensor(48.8889)
1,1,128,5,0.0001,2,0.8044251750018182,1.042441761266085,tensor(72.3077),tensor(63.3333)
2,1,128,5,0.0001,3,0.5670379563048793,0.8676381519906026,tensor(82.5641),tensor(68.1481)
3,1,128,5,0.0001,4,0.4319109209906704,0.8150964002015209,tensor(85.3846),tensor(72.2222)
4,1,128,5,0.0001,5,0.2774323836841444,0.6987635575272483,tensor(92.2222),tensor(77.4074)
