,batch_size,img_size,num_epochs,learning_rate,epochs,train_losses,test_losses,train_accuracies,test_accuracies
0,1,128,25,0.0001,1,2.300774079714066,2.300930062929789,tensor(13.3333),tensor(11.1111)
1,1,128,25,0.0001,2,1.5985589599917054,1.5923456743654107,tensor(41.7949),tensor(44.8148)
2,1,128,25,0.0001,3,1.298690268362653,1.3262103904852867,tensor(51.5385),tensor(49.6296)
3,1,128,25,0.0001,4,1.0882378989403994,1.135778675748156,tensor(61.7094),tensor(58.8889)
4,1,128,25,0.0001,5,0.9993367380960034,1.115587577336457,tensor(61.7094),tensor(58.5185)
5,1,128,25,0.0001,6,0.8478291644897377,1.033057285084141,tensor(69.2308),tensor(63.3333)
6,1,128,25,0.0001,7,0.6686291232636847,0.8694733544784883,tensor(76.2393),tensor(65.9259)
7,1,128,25,0.0001,8,0.5640994804236898,0.81351877212756,tensor(80.7692),tensor(67.7778)
8,1,128,25,0.0001,9,0.5013207753310477,0.8015163601333677,tensor(83.2479),tensor(73.7037)
9,1,128,25,0.0001,10,0.3773108166759982,0.7190662288126869,tensor(87.2650),tensor(76.2963)
10,1,128,25,0.0001,11,0.3985639356977149,0.8733328536332127,tensor(84.6154),tensor(72.2222)
11,1,128,25,0.0001,12,0.3055024833754302,0.6914448017820901,tensor(89.4872),tensor(76.2963)
12,1,128,25,0.0001,13,0.28278458914470367,0.7526317961695911,tensor(89.6581),tensor(75.1852)
13,1,128,25,0.0001,14,0.20569187172621817,0.7147765490798078,tensor(92.9915),tensor(75.9259)
14,1,128,25,0.0001,15,0.22294969249419586,0.7456355066382513,tensor(91.1966),tensor(78.8889)
15,1,128,25,0.0001,16,0.10493377871535547,0.6645661144563418,tensor(96.9231),tensor(80.7407)
16,1,128,25,0.0001,17,0.1904516892265552,0.8365096284029734,tensor(93.8462),tensor(77.0370)
17,1,128,25,0.0001,18,0.09835562256663662,0.6359821111471854,tensor(97.4359),tensor(80.)
18,1,128,25,0.0001,19,0.09629718466589451,0.7491088951067836,tensor(97.4359),tensor(79.2593)
19,1,128,25,0.0001,20,0.044265137785892,0.6765011072163913,tensor(98.8889),tensor(82.5926)
20,1,128,25,0.0001,21,0.03599599525718811,0.6579594333133244,tensor(99.1453),tensor(83.7037)
21,1,128,25,0.0001,22,0.06211169791070895,0.5871351575505463,tensor(98.2906),tensor(80.3704)
22,1,128,25,0.0001,23,0.07979282654412158,0.7322153631324889,tensor(97.2650),tensor(80.7407)
23,1,128,25,0.0001,24,0.038280668336281715,0.5573385242054123,tensor(98.8889),tensor(84.8148)
24,1,128,25,0.0001,25,0.05018922842579162,0.7604021723499127,tensor(98.8889),tensor(79.2593)
