,batch_size,img_size,num_epochs,learning_rate,epochs,train_losses,test_losses,train_accuracies,test_accuracies
0,1,128,10,0.0001,1,1.2171449210048995,1.3977004459804718,tensor(58.2051),tensor(50.)
1,1,128,10,0.0001,2,0.7090389155195317,1.0469181610368374,tensor(77.9487),tensor(65.9259)
2,1,128,10,0.0001,3,0.42386027239630986,0.8600030000943114,tensor(90.3419),tensor(73.3333)
3,1,128,10,0.0001,4,0.2600998920368496,0.766077366368051,tensor(95.0427),tensor(73.7037)
4,1,128,10,0.0001,5,0.1956608399586712,0.7003649683150517,tensor(95.8974),tensor(77.0370)
5,1,128,10,0.0001,6,0.17158678593639032,0.7910572176267278,tensor(96.0684),tensor(73.3333)
6,1,128,10,0.0001,7,0.2084334867226591,0.8483814915167933,tensor(93.4188),tensor(78.8889)
7,1,128,10,0.0001,8,0.06475458918510062,0.7498333178432364,tensor(99.3162),tensor(76.6667)
8,1,128,10,0.0001,9,0.02947281829801948,0.6796411243594158,tensor(100.),tensor(77.7778)
9,1,128,10,0.0001,10,0.03428152566465963,0.656671826438129,tensor(99.8291),tensor(78.5185)
