,batch_size,img_size,num_epochs,learning_rate,epochs,train_losses,test_losses,train_accuracies,test_accuracies
0,1,128,25,0.0001,1,1.4588775284334083,1.4915727376218086,tensor(55.9829),tensor(52.2222)
1,1,128,25,0.0001,2,0.9386434288326124,1.1247333572767078,tensor(66.0684),tensor(60.7407)
2,1,128,25,0.0001,3,0.6822003633051924,0.9317054233428631,tensor(75.7265),tensor(65.1852)
3,1,128,25,0.0001,4,0.5747113375506049,0.9449693675181047,tensor(76.7521),tensor(62.9630)
4,1,128,25,0.0001,5,0.2824373377295953,0.7439843870095709,tensor(91.2821),tensor(77.0370)
5,1,128,25,0.0001,6,0.18121992249817867,0.6832288035241099,tensor(93.4188),tensor(76.2963)
6,1,128,25,0.0001,7,0.1467561335326221,0.6781597264408976,tensor(95.6410),tensor(79.2593)
7,1,128,25,0.0001,8,0.11138894652418799,0.6197469354562307,tensor(96.3248),tensor(79.2593)
8,1,128,25,0.0001,9,0.07189320095223894,0.6248359940129885,tensor(97.6068),tensor(82.2222)
9,1,128,25,0.0001,10,0.05204495833443765,0.6836986020388756,tensor(98.5470),tensor(84.0741)
10,1,128,25,0.0001,11,0.07952164106994557,0.8011129285503351,tensor(97.4359),tensor(79.6296)
11,1,128,25,0.0001,12,0.052947463500251694,0.7405049882248098,tensor(98.2051),tensor(79.2593)
12,1,128,25,0.0001,13,0.028553308627422513,0.7128284145051637,tensor(99.2308),tensor(80.7407)
13,1,128,25,0.0001,14,0.026501144848971696,0.6960686951602435,tensor(99.0598),tensor(83.7037)
14,1,128,25,0.0001,15,0.0675076820304787,0.7983955374424456,tensor(97.4359),tensor(81.8519)
15,1,128,25,0.0001,16,0.03786970214734127,0.8701307893335578,tensor(98.8889),tensor(80.)
16,1,128,25,0.0001,17,0.0016261735276979653,0.7049966190332213,tensor(100.),tensor(82.9630)
17,1,128,25,0.0001,18,0.0007916720873354804,0.7377304710578169,tensor(100.),tensor(82.9630)
18,1,128,25,0.0001,19,0.00034872992285087524,0.8040744154633463,tensor(100.),tensor(84.0741)
19,1,128,25,0.0001,20,0.0001670026835662017,0.8458632717643528,tensor(100.),tensor(84.0741)
20,1,128,25,0.0001,21,8.909973638604045e-05,0.8725049676414146,tensor(100.),tensor(83.7037)
21,1,128,25,0.0001,22,5.3769271810247907e-05,0.9203716507767742,tensor(100.),tensor(84.0741)
22,1,128,25,0.0001,23,2.7874263162746204e-05,1.0092665629651862,tensor(100.),tensor(84.0741)
23,1,128,25,0.0001,24,0.10894907854694548,0.9141834551681286,tensor(96.0684),tensor(78.8889)
24,1,128,25,0.0001,25,0.14075175363135942,1.14439745706811,tensor(96.1538),tensor(75.9259)
