,batch_size,img_size,num_epochs,learning_rate,epochs,train_losses,test_losses,train_accuracies,test_accuracies
0,1,128,25,0.0001,1,1.6933803974192507,1.7300997512966139,tensor(37.8632),tensor(34.8148)
1,1,128,25,0.0001,2,1.1421502132961179,1.2751849643231468,tensor(58.5470),tensor(52.2222)
2,1,128,25,0.0001,3,0.8014542510345489,1.0091907584640538,tensor(74.2735),tensor(62.9630)
3,1,128,25,0.0001,4,0.6552151145047248,0.902502248869543,tensor(77.1795),tensor(70.)
4,1,128,25,0.0001,5,0.45695549522369555,0.7855203369355813,tensor(84.7009),tensor(72.9630)
5,1,128,25,0.0001,6,0.31077198690907115,0.7229831137963214,tensor(89.0598),tensor(74.0741)
6,1,128,25,0.0001,7,0.18034858438309953,0.7149917689420974,tensor(93.6752),tensor(78.1481)
7,1,128,25,0.0001,8,0.3064886789983232,0.8749597097629751,tensor(89.0598),tensor(76.2963)
8,1,128,25,0.0001,9,0.07825769291973643,0.5918702263618956,tensor(97.1795),tensor(78.5185)
9,1,128,25,0.0001,10,0.08089404375994794,0.7091462752664669,tensor(98.0342),tensor(80.7407)
10,1,128,25,0.0001,11,0.08357045193323055,0.6965553188474536,tensor(97.1795),tensor(81.4815)
11,1,128,25,0.0001,12,0.13723879431414526,0.7216817433241679,tensor(93.8462),tensor(82.2222)
12,1,128,25,0.0001,13,0.2249675180148381,1.1203105782038214,tensor(91.2821),tensor(75.5556)
13,1,128,25,0.0001,14,0.056507630414147386,0.7520287518576766,tensor(97.8633),tensor(80.3704)
14,1,128,25,0.0001,15,0.018310703863547356,0.7120044840096539,tensor(99.3162),tensor(82.5926)
15,1,128,25,0.0001,16,0.01427520765887338,0.75847355333697,tensor(99.8291),tensor(82.9630)
16,1,128,25,0.0001,17,0.14987571016277215,0.9792822403716384,tensor(95.3846),tensor(80.3704)
17,1,128,25,0.0001,18,0.012620629873921329,0.7822646673279138,tensor(99.7436),tensor(82.5926)
18,1,128,25,0.0001,19,0.0011185821092451014,0.7396493565842963,tensor(100.),tensor(84.0741)
19,1,128,25,0.0001,20,0.001519906302399822,0.983472120447847,tensor(100.),tensor(81.4815)
20,1,128,25,0.0001,21,0.04988739616081108,0.6313216317906019,tensor(98.2906),tensor(83.3333)
21,1,128,25,0.0001,22,0.0026507027925372407,0.6053149891594092,tensor(100.),tensor(84.4444)
22,1,128,25,0.0001,23,0.0006225494004660964,0.6818912904483181,tensor(100.),tensor(85.1852)
23,1,128,25,0.0001,24,0.38884043876943125,1.5823156771467342,tensor(92.3932),tensor(78.5185)
24,1,128,25,0.0001,25,0.01480146138341918,0.8455130243394954,tensor(99.5726),tensor(81.4815)
