,batch_size,img_size,num_epochs,learning_rate,epochs,train_losses,test_losses,train_accuracies,test_accuracies
0,1,128,5,0.0001,1,1.482991362632797,1.6010025339261018,tensor(45.0427),tensor(40.7407)
1,1,128,5,0.0001,2,0.9761918668128823,1.198321414127477,tensor(63.0769),tensor(52.9630)
2,1,128,5,0.0001,3,0.4698708676580828,0.8165469060454624,tensor(85.8974),tensor(68.5185)
3,1,128,5,0.0001,4,0.20552973343072664,0.5505855340502951,tensor(94.1880),tensor(80.7407)
4,1,128,5,0.0001,5,0.11737497378689522,0.5125109701315594,tensor(97.0940),tensor(80.3704)
