,batch_size,img_size,num_epochs,learning_rate,epochs,train_losses,test_losses,train_accuracies,test_accuracies
0,1,128,25,0.0001,1,2.1506599493515797,2.162165250049697,tensor(19.5726),tensor(20.7407)
1,1,128,25,0.0001,2,1.4848205471287568,1.5140768919140966,tensor(46.6667),tensor(46.6667)
2,1,128,25,0.0001,3,1.1994313562767216,1.2598172011262136,tensor(57.0940),tensor(54.8148)
3,1,128,25,0.0001,4,1.10096408024956,1.1586327671456287,tensor(62.2222),tensor(60.)
4,1,128,25,0.0001,5,0.9459520954191717,1.0568908974941067,tensor(64.3590),tensor(62.9630)
5,1,128,25,0.0001,6,0.7343140451077855,0.9079619131184666,tensor(73.7607),tensor(68.8889)
6,1,128,25,0.0001,7,0.6143487302974707,0.8277028610849272,tensor(78.6325),tensor(67.0370)
7,1,128,25,0.0001,8,0.5632138891664188,0.8376278999774758,tensor(79.0598),tensor(68.1481)
8,1,128,25,0.0001,9,0.5992332455412135,0.8794638811903231,tensor(78.0342),tensor(71.4815)
9,1,128,25,0.0001,10,0.34666875952160536,0.7048041672140648,tensor(88.8889),tensor(75.1852)
10,1,128,25,0.0001,11,0.36359375739489275,0.6582819607761893,tensor(88.5470),tensor(77.4074)
11,1,128,25,0.0001,12,0.31512885326910905,0.7490987141600937,tensor(90.0855),tensor(75.5556)
12,1,128,25,0.0001,13,0.2512816583928791,0.6975196738558758,tensor(92.4786),tensor(76.6667)
13,1,128,25,0.0001,14,0.19132522222248732,0.5924484911698258,tensor(95.6410),tensor(79.6296)
14,1,128,25,0.0001,15,0.1598021352475697,0.6082846061697601,tensor(94.3590),tensor(78.5185)
15,1,128,25,0.0001,16,0.14681592393468856,0.717233270753127,tensor(94.8718),tensor(76.2963)
16,1,128,25,0.0001,17,0.10913785974666189,0.6448073146648777,tensor(96.4957),tensor(81.1111)
17,1,128,25,0.0001,18,0.09578056936921776,0.5984165571665859,tensor(97.5214),tensor(78.8889)
18,1,128,25,0.0001,19,0.07213164342274858,0.5570869784488214,tensor(97.8633),tensor(81.8519)
19,1,128,25,0.0001,20,0.0965696715582776,0.616859332823615,tensor(97.0085),tensor(79.2593)
20,1,128,25,0.0001,21,0.04020336205758262,0.5580567038443828,tensor(99.2308),tensor(83.7037)
21,1,128,25,0.0001,22,0.06557924591373993,0.6093005581559952,tensor(98.1197),tensor(81.1111)
22,1,128,25,0.0001,23,0.04967635411869738,0.5933712203131233,tensor(99.0598),tensor(82.2222)
23,1,128,25,0.0001,24,0.03675093234734936,0.5621688165750666,tensor(99.0598),tensor(83.3333)
24,1,128,25,0.0001,25,0.03094792051363822,0.5557995047561917,tensor(99.4872),tensor(83.3333)
