,batch_size,img_size,num_epochs,learning_rate,epochs,train_losses,test_losses,train_accuracies,test_accuracies
0,1,128,25,0.0001,1,1.9472264622338116,1.954081549640331,tensor(29.0598),tensor(28.8889)
1,1,128,25,0.0001,2,1.6886243966564227,1.6942796704511474,tensor(41.6239),tensor(41.1111)
2,1,128,25,0.0001,3,1.5503669389275023,1.5786240717926519,tensor(47.1795),tensor(45.1852)
3,1,128,25,0.0001,4,1.378208806423436,1.4085067115585554,tensor(55.3846),tensor(52.2222)
4,1,128,25,0.0001,5,1.2511314776366071,1.3070764436070585,tensor(64.1026),tensor(57.7778)
5,1,128,25,0.0001,6,1.1437370576875288,1.2484484802831703,tensor(69.6581),tensor(60.)
6,1,128,25,0.0001,7,1.035432220917908,1.15175082781697,tensor(71.0256),tensor(61.4815)
7,1,128,25,0.0001,8,0.8243077056938597,0.9857357527869512,tensor(78.5470),tensor(68.1481)
8,1,128,25,0.0001,9,0.8046474847173513,0.9372610865207741,tensor(80.3419),tensor(68.5185)
9,1,128,25,0.0001,10,0.7010925421431363,0.8840838274288899,tensor(85.8974),tensor(72.2222)
10,1,128,25,0.0001,11,0.6241377155331628,0.8775960463280609,tensor(86.7521),tensor(71.8519)
11,1,128,25,0.0001,12,0.5519313690430534,0.7634794505705923,tensor(90.1709),tensor(74.8148)
12,1,128,25,0.0001,13,0.4559981976263102,0.6867165627634797,tensor(93.6752),tensor(80.7407)
13,1,128,25,0.0001,14,0.36943992834266487,0.6285824838916066,tensor(93.6752),tensor(79.2593)
14,1,128,25,0.0001,15,0.35608219566142263,0.6057130976053116,tensor(93.5897),tensor(78.8889)
15,1,128,25,0.0001,16,0.29340539338034,0.584764051373208,tensor(94.3590),tensor(79.6296)
16,1,128,25,0.0001,17,0.37757079395800164,0.6760904356902079,tensor(89.0598),tensor(74.0741)
17,1,128,25,0.0001,18,0.2200730624909301,0.5392181237988177,tensor(97.0085),tensor(82.5926)
18,1,128,25,0.0001,19,0.17872101095324847,0.4777665059993705,tensor(97.8633),tensor(83.3333)
19,1,128,25,0.0001,20,0.12734627836113208,0.3992836161837433,tensor(99.4017),tensor(86.2963)
20,1,128,25,0.0001,21,0.14364731965861324,0.4881670012460855,tensor(99.4017),tensor(85.1852)
21,1,128,25,0.0001,22,0.13103341004763566,0.5580397226205196,tensor(97.0940),tensor(81.4815)
22,1,128,25,0.0001,23,0.09703197011818451,0.42278953565516986,tensor(99.4872),tensor(89.2593)
23,1,128,25,0.0001,24,0.10654777108211325,0.39667671781295905,tensor(98.8034),tensor(87.4074)
24,1,128,25,0.0001,25,0.11598810974361029,0.4620278081256427,tensor(98.7179),tensor(84.4444)
