,batch_size,img_size,num_epochs,learning_rate,epochs,train_losses,test_losses,train_accuracies,test_accuracies
0,1,128,10,0.0001,1,1.7498334963929105,1.7357300168430407,tensor(40.9402),tensor(41.8519)
1,1,128,10,0.0001,2,1.0394290909953907,1.1252520120344693,tensor(62.0513),tensor(60.7407)
2,1,128,10,0.0001,3,0.7761359849996508,0.9634750124938136,tensor(73.2479),tensor(67.7778)
3,1,128,10,0.0001,4,0.6095295226585449,0.9371884276864472,tensor(77.6923),tensor(67.4074)
4,1,128,10,0.0001,5,0.454002729101993,0.8570953716707806,tensor(84.7863),tensor(73.7037)
5,1,128,10,0.0001,6,0.33234765848172243,0.8506136180598213,tensor(89.4017),tensor(70.7407)
6,1,128,10,0.0001,7,0.2270807576526935,0.7261387492647585,tensor(93.9316),tensor(75.1852)
7,1,128,10,0.0001,8,0.16453137289865097,0.8131858385546064,tensor(94.7009),tensor(77.0370)
8,1,128,10,0.0001,9,0.1442836398668624,0.8226896802010243,tensor(95.5556),tensor(75.1852)
9,1,128,10,0.0001,10,0.034414754997825266,0.8155494227018052,tensor(99.3162),tensor(78.5185)
