,batch_size,img_size,num_epochs,learning_rate,epochs,train_losses,test_losses,train_accuracies,test_accuracies
0,1,128,25,0.0001,1,2.296460642366328,2.2970787551667957,tensor(10.3419),tensor(10.3704)
1,1,128,25,0.0001,2,1.76242898888179,1.7572146055443665,tensor(35.0427),tensor(35.5556)
2,1,128,25,0.0001,3,1.366965045274713,1.3911225321169784,tensor(53.9316),tensor(51.4815)
3,1,128,25,0.0001,4,1.1402420453956612,1.2166319535986712,tensor(60.1709),tensor(58.1481)
4,1,128,25,0.0001,5,0.8828138048253488,0.9860748174766437,tensor(65.0427),tensor(62.2222)
5,1,128,25,0.0001,6,0.7668673675026005,0.9027884062449613,tensor(74.1026),tensor(65.5556)
6,1,128,25,0.0001,7,0.6476277661347634,0.8089703215042929,tensor(77.6923),tensor(71.4815)
7,1,128,25,0.0001,8,0.5625342947932996,0.7562833252303938,tensor(79.7436),tensor(71.1111)
8,1,128,25,0.0001,9,0.5390281012306881,0.8711171435455776,tensor(80.4274),tensor(66.6667)
9,1,128,25,0.0001,10,0.448692124776017,0.7657625710251746,tensor(85.1282),tensor(70.3704)
10,1,128,25,0.0001,11,0.32548248658454854,0.664029293531148,tensor(89.8291),tensor(76.6667)
11,1,128,25,0.0001,12,0.29899279255410327,0.6446738200035804,tensor(90.8547),tensor(78.5185)
12,1,128,25,0.0001,13,0.18377885640846628,0.7746790344092936,tensor(94.3590),tensor(75.9259)
13,1,128,25,0.0001,14,0.18458176271257024,0.6287982705675561,tensor(94.4444),tensor(78.8889)
14,1,128,25,0.0001,15,0.15078706343781215,0.7436560627710586,tensor(95.3846),tensor(77.7778)
15,1,128,25,0.0001,16,0.10707241896653537,0.8050283511005382,tensor(96.1538),tensor(77.4074)
16,1,128,25,0.0001,17,0.18411870135526018,0.8955667985284989,tensor(93.1624),tensor(72.9630)
17,1,128,25,0.0001,18,0.12188155990242303,0.670396457122161,tensor(96.6667),tensor(78.8889)
18,1,128,25,0.0001,19,0.1394064548956264,0.8323712111224608,tensor(95.4701),tensor(80.3704)
19,1,128,25,0.0001,20,0.05980013350191591,0.8171373592425958,tensor(98.1197),tensor(75.9259)
20,1,128,25,0.0001,21,0.031386236490887696,0.705069453690884,tensor(99.4017),tensor(79.2593)
21,1,128,25,0.0001,22,0.14499995202678453,0.8400950371342064,tensor(95.7265),tensor(75.1852)
22,1,128,25,0.0001,23,0.06273353010762513,0.9192779563092285,tensor(98.5470),tensor(76.6667)
23,1,128,25,0.0001,24,0.1259411213522332,1.0003087718778507,tensor(96.1538),tensor(75.5556)
24,1,128,25,0.0001,25,0.04458767022955555,0.902773931088359,tensor(98.6325),tensor(77.4074)
